noun,verb,adjective,adverb
7,5,4,2
10,5,2,1
8,2,5,0
5,6,2,0
5,2,1,1
4,4,0,0
15,4,6,0
15,4,6,1
6,4,4,0
9,2,4,1
10,4,3,2
9,1,0,0
9,2,3,0
4,3,2,1
21,5,6,4
11,4,3,0
8,3,3,1
13,3,2,1
7,1,2,0
4,4,2,1
11,4,2,1
29,4,11,0
12,9,1,0
7,4,9,0
17,8,5,2
8,2,1,0
7,3,2,1
4,1,1,0
3,3,1,0
7,3,0,2
7,2,0,0
10,2,4,3
8,4,2,0
27,3,9,3
8,4,5,2
9,9,0,0
6,1,0,0
9,4,4,1
25,5,4,2
8,4,3,0
14,3,2,0
15,10,2,4
24,4,4,5
6,3,1,0
1,2,1,1
7,2,0,0
6,1,1,0
9,6,1,0
5,1,1,1
12,5,3,2
2,1,0,1
8,0,1,0
11,3,1,2
6,1,0,0
5,7,1,1
5,1,2,1
7,2,2,0
10,4,1,1
9,3,0,0
30,5,5,2
4,1,0,0
27,5,7,1
7,0,2,0
5,3,0,1
7,2,2,1
11,7,2,0
5,3,5,1
4,2,2,0
8,5,3,0
14,4,5,3
6,3,2,0
7,1,0,0
9,5,2,0
14,7,8,3
10,2,3,2
14,11,6,1
8,3,0,2
20,3,6,2
2,2,0,2
14,5,4,1
16,1,3,0
14,6,4,2
14,9,3,0
15,3,2,2
8,2,2,0
5,3,0,1
14,6,6,1
12,2,1,0
11,3,4,1
16,6,11,5
7,2,0,0
9,3,0,0
15,5,2,1
19,4,5,0
14,3,3,3
7,1,4,0
14,4,5,0
9,4,4,1
8,4,1,2
2,2,2,1
18,7,6,0
4,1,0,0
5,2,0,0
7,2,0,0
6,7,4,2
10,3,1,0
20,7,6,2
4,1,0,0
10,3,4,1
4,3,2,2
4,3,3,1
5,1,0,0
7,2,5,0
9,2,4,2
13,5,1,1
7,3,2,2
2,1,0,1
4,3,0,0
3,3,0,0
10,3,6,2
8,4,5,0
12,8,2,5
4,3,0,0
6,3,0,1
15,11,5,4
49,13,17,2
16,3,5,2
6,3,2,0
6,1,0,0
24,4,5,2
6,5,1,0
6,5,0,1
3,1,0,0
13,5,2,2
5,4,1,0
5,2,1,0
8,7,3,2
11,5,4,1
30,9,9,3
16,4,0,1
7,2,1,1
6,2,1,1
20,3,5,0
6,1,0,0
13,4,2,2
10,4,2,0
9,4,3,0
6,4,4,0
18,17,5,1
7,2,0,0
9,4,1,0
4,1,0,0
5,2,0,0
16,7,3,0
10,4,2,0
11,3,2,2
6,2,1,1
4,6,1,0
7,2,1,2
8,5,1,1
6,4,1,2
15,8,2,1
8,3,0,2
8,1,1,0
18,9,2,0
14,4,4,0
8,3,4,1
7,8,2,0
8,2,3,1
4,1,0,0
11,8,3,2
3,2,0,1
18,5,6,3
6,5,4,0
20,3,5,0
9,3,2,1
4,6,1,5
7,1,0,0
7,3,3,2
38,14,11,2
7,4,1,0
5,1,0,0
6,3,3,1
13,2,2,2
12,9,3,1
8,4,3,3
