noun,verb,adjective,adverb
5,5,3,2
2,1,1,0
1,1,0,0
6,1,3,0
11,12,1,2
17,3,5,0
7,3,2,0
7,2,2,0
4,2,0,1
10,5,2,1
6,6,0,0
8,2,3,0
7,6,1,1
3,3,1,0
10,7,1,1
6,1,1,1
17,7,5,1
17,9,5,0
9,3,1,0
9,7,1,1
13,3,4,0
8,4,3,1
4,1,1,2
6,1,2,0
14,4,5,1
10,8,1,0
19,3,3,4
5,2,1,1
9,7,1,1
8,4,1,0
8,5,4,1
9,4,1,0
7,4,3,0
5,5,3,0
3,2,1,0
9,4,2,0
7,2,1,1
11,8,2,2
9,2,1,0
9,3,0,0
3,2,0,0
3,2,3,3
12,5,3,0
10,7,1,1
8,4,1,0
14,4,10,1
13,4,3,1
6,1,5,1
10,1,1,0
10,7,1,1
9,1,5,0
26,13,6,2
10,7,3,0
6,2,2,2
11,6,6,3
5,4,3,0
7,5,2,0
4,2,2,3
7,2,1,0
7,2,0,0
6,3,1,0
8,5,3,2
10,8,2,0
6,1,1,0
7,4,5,2
7,1,1,0
7,1,2,0
6,4,3,0
11,3,7,1
9,7,1,1
7,3,1,0
26,6,9,0
11,8,3,3
11,6,5,0
10,2,4,1
7,1,0,0
11,2,2,1
9,3,2,0
7,7,0,2
5,2,0,1
10,10,1,0
14,7,4,0
14,7,5,0
11,3,0,0
25,6,5,0
11,2,6,0
9,4,1,0
13,8,3,0
17,3,2,1
17,4,8,1
6,4,0,0
4,3,2,0
4,3,2,1
10,2,1,0
11,5,2,1
10,5,4,1
4,5,0,1
7,3,0,0
6,1,1,0
6,1,0,0
8,5,4,0
14,3,4,1
8,7,1,0
10,2,1,0
9,4,1,0
6,1,1,0
4,4,0,1
1,1,0,1
12,1,6,0
6,4,1,2
7,4,1,1
8,5,1,0
9,2,2,1
10,3,2,0
3,3,1,0
11,5,2,1
12,2,4,0
2,2,1,0
7,1,3,1
8,6,3,0
6,2,2,3
3,5,0,2
4,3,1,0
9,1,0,0
6,3,0,0
13,6,2,1
3,0,1,0
10,8,0,1
3,4,1,0
9,4,1,0
5,2,1,0
9,4,3,0
12,6,4,4
7,4,1,0
14,4,4,0
6,1,3,1
2,1,1,1
19,5,1,0
9,7,1,1
13,2,0,0
8,6,4,1
3,0,0,0
4,2,3,2
8,2,2,0
11,3,0,0
9,7,1,1
9,3,0,1
8,1,2,0
8,5,1,0
15,1,3,0
4,1,1,0
7,2,3,0
4,1,1,0
6,1,0,0
7,2,3,2
6,3,3,1
9,7,2,2
5,1,0,2
5,1,1,1
4,1,0,0
14,4,4,0
19,7,2,2
25,7,9,0
5,4,1,0
5,3,1,1
4,4,5,0
8,5,1,1
16,10,7,5
11,1,6,0
10,4,1,0
5,5,1,1
