noun,verb,adjective,adverb
4,1,2,0
9,1,1,0
4,4,1,1
33,6,8,1
33,11,25,3
12,9,5,0
13,5,3,1
14,2,4,1
10,5,3,0
12,5,5,0
6,7,0,0
3,2,2,0
5,2,3,1
12,5,7,3
13,5,1,1
8,4,1,0
4,5,1,2
15,5,1,1
9,3,3,0
7,3,2,0
3,2,2,0
6,2,4,3
6,4,6,3
37,8,10,4
6,3,2,0
3,2,0,0
7,2,1,1
5,2,2,0
7,3,1,0
5,3,3,1
5,1,1,0
14,9,4,0
9,2,4,0
12,9,3,0
6,5,5,1
8,9,5,2
5,3,3,2
11,3,2,0
8,6,2,2
15,6,5,0
10,6,2,0
10,9,1,1
3,3,3,0
15,5,1,0
13,4,6,1
5,2,1,0
10,3,1,0
18,7,5,0
11,7,1,0
8,3,3,0
12,4,3,4
3,2,0,1
9,9,1,1
4,7,2,1
5,4,0,1
13,3,3,0
4,5,1,0
9,5,3,1
19,6,8,3
3,2,0,0
24,3,3,0
3,2,2,1
10,4,7,1
7,4,0,2
8,6,2,0
14,4,7,0
9,4,1,1
15,6,9,1
9,7,1,4
4,6,2,0
8,2,3,1
17,3,5,2
5,3,0,0
14,4,2,1
5,2,2,0
10,7,3,1
3,3,0,0
13,4,3,0
6,2,2,0
8,2,2,2
4,5,2,0
6,2,8,1
8,6,5,6
7,3,3,0
4,2,1,1
5,4,2,0
6,1,4,1
7,4,1,3
33,8,19,5
6,3,1,0
8,2,0,1
23,7,12,1
7,4,2,2
3,2,1,1
5,3,3,4
7,1,1,0
2,4,1,0
9,3,3,2
8,2,2,0
14,7,8,2
4,1,1,0
14,4,5,0
6,3,0,0
13,6,2,3
10,3,6,1
5,3,4,0
11,5,1,0
24,5,2,2
7,3,6,0
50,17,11,0
4,2,1,1
6,2,2,1
5,4,1,0
4,2,2,0
4,3,1,0
9,4,2,0
4,3,3,0
6,3,0,0
6,2,2,1
9,4,2,0
2,2,1,0
4,3,2,1
2,3,0,0
9,5,3,1
10,6,0,0
15,7,3,1
10,7,1,2
9,4,1,0
4,3,0,0
4,4,3,0
21,9,8,1
7,4,4,3
5,2,0,1
3,4,2,0
8,3,1,0
9,2,1,1
7,4,2,1
4,3,1,0
28,14,10,4
13,3,3,0
10,6,3,2
10,2,2,0
1,0,1,0
13,5,3,1
12,3,5,0
5,4,1,0
5,2,3,0
12,4,3,3
9,9,3,0
8,8,0,0
8,4,3,0
11,6,4,1
7,1,2,2
12,4,2,1
20,7,9,1
9,2,1,1
15,7,3,1
8,6,3,0
5,4,5,0
3,2,1,0
4,1,0,0
11,5,3,1
4,2,2,0
6,1,2,0
19,6,4,0
4,5,0,0
13,7,2,2
5,2,2,0
14,4,2,0
22,13,15,1
7,3,2,0
10,5,1,2
6,8,4,4
11,2,1,0
4,3,1,0
13,4,4,2
10,10,2,3
7,3,2,0
7,5,8,1
6,2,3,0
9,5,1,1
17,9,5,1
4,3,1,0
19,9,5,2
8,5,2,0
11,5,4,2
11,9,4,2
8,3,3,5
4,3,3,0
8,4,2,0
8,8,5,0
7,3,2,0
6,2,2,0
7,2,3,2
5,4,2,2
13,3,1,0
25,6,4,2
6,1,1,0
6,3,3,1
8,4,2,0
13,8,5,2
6,3,1,0
6,5,3,1
8,4,1,1
32,10,4,0
4,4,3,2
22,9,9,1
6,4,3,3
16,6,8,0
6,4,3,0
8,2,1,0
10,9,1,0
6,3,0,1
10,5,5,0
20,9,3,5
4,1,2,0
14,3,2,1
4,3,0,0
4,2,1,0
5,8,1,1
7,3,1,4
13,2,7,0
5,4,2,1
13,5,1,0
5,1,3,1
4,1,4,1
8,1,4,1
4,3,2,0
2,1,1,0
7,2,4,2
6,2,1,0
4,5,2,0
10,4,2,1
14,3,4,1
14,4,1,0
7,2,5,0
6,2,2,0
5,1,3,0
5,2,5,1
3,4,1,4
9,4,2,0
9,4,6,1
23,10,9,3
7,6,1,1
4,3,3,2
9,3,2,0
7,8,0,0
35,11,6,3
11,9,0,0
8,2,0,0
10,2,3,0
5,4,2,0
22,6,9,1
6,3,5,4
10,6,7,0
7,4,4,1
9,1,3,1
7,6,1,2
13,4,5,1
4,2,2,0
5,5,3,1
17,6,3,1
9,1,1,0
